Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-04-21","Colin Rea","MIL",1,6,0,2,0,0,0,0,0,1,0,0,0,0.4,0.5,0.4,0.4099416534105937,12317
"2024-04-22","Chris Paddack","MIN",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20099
"2024-04-22","Yusei Kikuchi","TOR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20633
"2024-04-22","Jose Quintana","NYM",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423
"2024-04-22","Brady Singer","KCR",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22111518681049347,25377
"2024-04-22","Carlos Rodon","NYY",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,0,0.24065852165222168,16137
"2024-04-23","Logan Gilbert","SEA",1,5,0,0,0,0,0,0,0,2,0,0,0,0,0.4,0,0.2762913703918457,22250
"2024-04-23","Ryan Pepiot","TBR",1,4,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.17268210649490356,26221
"2024-04-23","Trevor Rogers","MIA",1,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.3148566484451294,22286
"2024-04-23","Ben Lively","CLE",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,14932
"2024-04-24","Nick Lodolo","CIN",1,4,9,1,0,0,1,1,0,0,0,1,1,0.333333333,0.5,0.333333333,0.40160907804965973,26378
"2024-04-24","Jake Irvin","WSN",1,6,9,2,1,0,1,1,0,1,0,0,1,0.4,0.5,0.6,0.47243596116701764,21504
"2024-04-24","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19350
"2024-04-24","Jameson Taillon","CHC",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11674
"2024-04-25","Mitch Keller","PIT",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5149495005607605,17594
"2024-04-25","Randy Vasquez","SDP",1,5,9,2,0,0,1,1,0,0,0,0,2,0.5,0.4,0.5,0.35378429889678953,24719
"2024-04-26","Colin Rea","MIL",1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1,0.5149495005607605,12317
