Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024-05-14,Chris Sale,ATL,1,5,0,1,0,0,0,0,0,0,0,1,3,0.25,0.4,0.25,0.3211453676223755,10603
2024-05-20,Chris Sale,ATL,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,10603
2024-05-26,Chris Sale,ATL,1,4,0,0,0,0,0,0,0,1,0,0,1,0.0,0.25,0.0,0.1726525574922561,10603
2024-06-01,Chris Sale,ATL,1,6,18,3,1,0,2,2,0,0,0,0,1,0.5,0.5,0.666666666,0.5043304562568665,10603
2024-06-07,Chris Sale,ATL,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,10603
2024-06-14,Chris Sale,ATL,1,6,9,2,1,0,1,1,0,0,0,1,2,0.4,0.5,0.6,0.4773065447807312,10603
2024-06-21,Chris Sale,ATL,1,3,0,0,0,0,0,0,0,1,0,0,2,0.0,0.333333333,0.0,0.2302034099896749,10603
2024-06-27,Chris Sale,ATL,1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1.0,0.5140978097915649,10603
2024-07-03,Chris Sale,ATL,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10603
2024-07-09,Chris Sale,ATL,1,6,0,1,0,0,0,0,0,2,0,0,1,0.25,0.5,0.25,0.377525935570399,10603
2024-07-14,Chris Sale,ATL,1,6,9,3,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.4419675767421722,10603
2024-03-31,Colin Rea,MIL,1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.2209837883710861,12317
2024-04-07,Colin Rea,MIL,1,5,0,2,0,0,1,0,0,0,0,0,1,0.4,0.4,0.4,0.3535740613937378,12317
2024-04-14,Colin Rea,MIL,1,6,9,2,0,0,1,1,0,0,0,1,1,0.4,0.5,0.4,0.414943665266037,12317
2024-04-21,Colin Rea,MIL,1,6,0,2,0,0,0,0,0,1,0,0,0,0.4,0.5,0.4,0.4097467561562856,12317
2024-04-26,Colin Rea,MIL,1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1.0,0.5140978097915649,12317
2024-05-01,Colin Rea,MIL,1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.2209837883710861,12317
2024-05-07,Colin Rea,MIL,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,12317
2024-05-13,Colin Rea,MIL,1,6,18,3,0,0,2,2,1,0,0,0,0,0.5,0.5,1.0,0.6373769243558248,12317
2024-05-19,Colin Rea,MIL,1,8,36,3,2,0,4,4,1,2,0,0,1,0.5,0.625,1.333333333,0.7442295700311661,12317
2024-05-30,Colin Rea,MIL,1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1.0,0.5140978097915649,12317
2024-06-10,Colin Rea,MIL,1,4,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.3145281076431274,12317
2024-06-16,Colin Rea,MIL,1,4,9,1,0,1,1,1,0,0,0,0,0,0.333333333,0.25,1.0,0.398717999458313,12317
2024-06-21,Colin Rea,MIL,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12317
2024-06-28,Colin Rea,MIL,1,4,0,0,0,0,0,0,0,1,0,1,1,0.0,0.5,0.0,0.3531004786491394,12317
2024-07-03,Colin Rea,MIL,1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.2209837883710861,12317
2024-07-09,Colin Rea,MIL,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,12317
2024-04-01,Dean Kremer,BAL,1,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19350
2024-04-07,Dean Kremer,BAL,1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.2209837883710861,19350
2024-04-13,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,19350
2024-04-19,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,19350
2024-04-24,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19350
2024-04-30,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.333333333,0.0,0.2302034099896749,19350
2024-05-05,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,19350
2024-05-12,Dean Kremer,BAL,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,19350
2024-05-20,Dean Kremer,BAL,1,5,0,1,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.3149090766906738,19350
2024-07-03,Dean Kremer,BAL,1,4,0,0,0,0,0,0,0,1,0,0,1,0.0,0.25,0.0,0.1726525574922561,19350
2024-07-09,Dean Kremer,BAL,1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1.0,0.5140978097915649,19350
2024-07-14,Dean Kremer,BAL,1,4,0,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.1804479211568832,19350
2024-07-14,German Marquez,COL,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,15038
2024-03-31,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,21504
2024-04-06,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21504
2024-04-12,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21504
2024-04-17,Jake Irvin,WSN,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,21504
2024-04-24,Jake Irvin,WSN,1,6,9,2,1,0,1,1,0,1,0,0,1,0.4,0.5,0.6,0.4721096356709798,21504
2024-04-29,Jake Irvin,WSN,1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.2209837883710861,21504
2024-05-04,Jake Irvin,WSN,1,9,0,3,1,0,4,0,0,1,0,0,1,0.375,0.444444444,0.5,0.4129547741678026,21504
2024-05-11,Jake Irvin,WSN,1,5,0,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.1767870306968689,21504
2024-05-17,Jake Irvin,WSN,1,6,9,2,1,0,1,1,0,0,0,1,0,0.4,0.5,0.6,0.4773065447807312,21504
2024-05-22,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21504
2024-05-28,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,21504
2024-06-02,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21504
2024-06-07,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21504
2024-06-12,Jake Irvin,WSN,1,6,9,3,0,0,1,1,1,0,0,0,1,0.5,0.5,1.0,0.6373769243558248,21504
2024-06-18,Jake Irvin,WSN,1,6,18,2,0,0,2,2,1,1,0,0,2,0.4,0.5,1.0,0.6051561037699381,21504
2024-06-23,Jake Irvin,WSN,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,21504
2024-06-29,Jake Irvin,WSN,1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1.0,0.5140978097915649,21504
2024-07-04,Jake Irvin,WSN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21504
2024-07-09,Jake Irvin,WSN,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,21504
2024-07-14,Jake Irvin,WSN,1,5,9,2,2,0,1,1,0,0,0,0,0,0.4,0.4,0.8,0.5032449722290039,21504
2024-04-19,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,11674
2024-04-24,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11674
2024-04-29,Jameson Taillon,CHC,1,5,9,2,0,0,1,1,1,0,0,0,0,0.4,0.4,1.0,0.5880652785301208,11674
2024-05-04,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,11674
2024-05-14,Jameson Taillon,CHC,1,6,9,3,1,0,1,1,0,0,0,0,0,0.5,0.5,0.666666666,0.5043304562568665,11674
2024-05-19,Jameson Taillon,CHC,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,11674
2024-05-25,Jameson Taillon,CHC,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,11674
2024-05-30,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,1,0,0,1,0.0,0.333333333,0.0,0.2302034099896749,11674
2024-06-05,Jameson Taillon,CHC,1,4,9,2,0,0,1,1,1,0,0,0,1,0.5,0.5,1.25,0.7350815981626511,11674
2024-06-11,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11674
2024-06-16,Jameson Taillon,CHC,1,5,0,2,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.3535740613937378,11674
2024-06-22,Jameson Taillon,CHC,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,11674
2024-06-28,Jameson Taillon,CHC,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,11674
2024-07-04,Jameson Taillon,CHC,1,5,9,2,0,0,1,1,0,0,0,0,2,0.4,0.4,0.4,0.3535740613937378,11674
